ID,csv_name,heightmap_name
0,training/slope_rocks1/slope_rocks1_training_0.csv,slope_rocks1.png
1,training/slope_rocks1/slope_rocks1_training_1.csv,slope_rocks1.png
2,training/slope_rocks1/slope_rocks1_training_2.csv,slope_rocks1.png
3,training/slope_rocks1/slope_rocks1_training_3.csv,slope_rocks1.png
4,training/slope_rocks1/slope_rocks1_training_4.csv,slope_rocks1.png
5,training/slope_rocks1/slope_rocks1_training_5.csv,slope_rocks1.png
6,training/slope_rocks1/slope_rocks1_training_6.csv,slope_rocks1.png
7,training/slope_rocks1/slope_rocks1_training_7.csv,slope_rocks1.png
8,training/slope_rocks1/slope_rocks1_training_8.csv,slope_rocks1.png
9,training/slope_rocks1/slope_rocks1_training_9.csv,slope_rocks1.png
10,training/slope_rocks1/slope_rocks1_training_10.csv,slope_rocks1.png
11,training/slope_rocks1/slope_rocks1_training_11.csv,slope_rocks1.png
12,training/slope_rocks1/slope_rocks1_training_12.csv,slope_rocks1.png
13,training/slope_rocks1/slope_rocks1_training_13.csv,slope_rocks1.png
14,training/slope_rocks1/slope_rocks1_training_14.csv,slope_rocks1.png
15,training/slope_rocks1/slope_rocks1_training_15.csv,slope_rocks1.png
16,training/slope_rocks1/slope_rocks1_training_16.csv,slope_rocks1.png
17,training/slope_rocks1/slope_rocks1_training_17.csv,slope_rocks1.png
18,training/slope_rocks1/slope_rocks1_training_18.csv,slope_rocks1.png
19,training/slope_rocks1/slope_rocks1_training_19.csv,slope_rocks1.png
20,training/slope_rocks1/slope_rocks1_training_20.csv,slope_rocks1.png
21,training/slope_rocks1/slope_rocks1_training_21.csv,slope_rocks1.png
22,training/slope_rocks1/slope_rocks1_training_22.csv,slope_rocks1.png
23,training/slope_rocks1/slope_rocks1_training_23.csv,slope_rocks1.png
24,training/slope_rocks1/slope_rocks1_training_24.csv,slope_rocks1.png
25,training/slope_rocks1/slope_rocks1_training_25.csv,slope_rocks1.png
26,training/slope_rocks1/slope_rocks1_training_26.csv,slope_rocks1.png
27,training/slope_rocks1/slope_rocks1_training_27.csv,slope_rocks1.png
28,training/slope_rocks1/slope_rocks1_training_28.csv,slope_rocks1.png
29,training/slope_rocks1/slope_rocks1_training_29.csv,slope_rocks1.png
30,training/slope_rocks1/slope_rocks1_training_30.csv,slope_rocks1.png
31,training/slope_rocks1/slope_rocks1_training_31.csv,slope_rocks1.png
32,training/slope_rocks1/slope_rocks1_training_32.csv,slope_rocks1.png
33,training/slope_rocks1/slope_rocks1_training_33.csv,slope_rocks1.png
34,training/slope_rocks1/slope_rocks1_training_34.csv,slope_rocks1.png
35,training/slope_rocks1/slope_rocks1_training_35.csv,slope_rocks1.png
36,training/slope_rocks1/slope_rocks1_training_36.csv,slope_rocks1.png
37,training/slope_rocks1/slope_rocks1_training_37.csv,slope_rocks1.png
38,training/slope_rocks1/slope_rocks1_training_38.csv,slope_rocks1.png
39,training/slope_rocks1/slope_rocks1_training_39.csv,slope_rocks1.png
40,training/slope_rocks1/slope_rocks1_training_40.csv,slope_rocks1.png
41,training/slope_rocks1/slope_rocks1_training_41.csv,slope_rocks1.png
42,training/slope_rocks1/slope_rocks1_training_42.csv,slope_rocks1.png
43,training/slope_rocks1/slope_rocks1_training_43.csv,slope_rocks1.png
44,training/slope_rocks1/slope_rocks1_training_44.csv,slope_rocks1.png
45,training/slope_rocks1/slope_rocks1_training_45.csv,slope_rocks1.png
46,training/slope_rocks1/slope_rocks1_training_46.csv,slope_rocks1.png
47,training/slope_rocks1/slope_rocks1_training_47.csv,slope_rocks1.png
48,training/slope_rocks1/slope_rocks1_training_48.csv,slope_rocks1.png
49,training/slope_rocks1/slope_rocks1_training_49.csv,slope_rocks1.png
