ID,csv_name,heightmap_name
0,training/holes2/holes2_training_0.csv,holes2.png
1,training/holes2/holes2_training_1.csv,holes2.png
2,training/holes2/holes2_training_2.csv,holes2.png
3,training/holes2/holes2_training_3.csv,holes2.png
4,training/holes2/holes2_training_4.csv,holes2.png
5,training/holes2/holes2_training_5.csv,holes2.png
6,training/holes2/holes2_training_6.csv,holes2.png
7,training/holes2/holes2_training_7.csv,holes2.png
8,training/holes2/holes2_training_8.csv,holes2.png
9,training/holes2/holes2_training_9.csv,holes2.png
10,training/holes2/holes2_training_10.csv,holes2.png
11,training/holes2/holes2_training_11.csv,holes2.png
12,training/holes2/holes2_training_12.csv,holes2.png
13,training/holes2/holes2_training_13.csv,holes2.png
14,training/holes2/holes2_training_14.csv,holes2.png
15,training/holes2/holes2_training_15.csv,holes2.png
16,training/holes2/holes2_training_16.csv,holes2.png
17,training/holes2/holes2_training_17.csv,holes2.png
18,training/holes2/holes2_training_18.csv,holes2.png
19,training/holes2/holes2_training_19.csv,holes2.png
20,training/holes2/holes2_training_20.csv,holes2.png
21,training/holes2/holes2_training_21.csv,holes2.png
22,training/holes2/holes2_training_22.csv,holes2.png
23,training/holes2/holes2_training_23.csv,holes2.png
24,training/holes2/holes2_training_24.csv,holes2.png
25,training/holes2/holes2_training_25.csv,holes2.png
26,training/holes2/holes2_training_26.csv,holes2.png
27,training/holes2/holes2_training_27.csv,holes2.png
28,training/holes2/holes2_training_28.csv,holes2.png
29,training/holes2/holes2_training_29.csv,holes2.png
30,training/holes2/holes2_training_30.csv,holes2.png
31,training/holes2/holes2_training_31.csv,holes2.png
32,training/holes2/holes2_training_32.csv,holes2.png
33,training/holes2/holes2_training_33.csv,holes2.png
34,training/holes2/holes2_training_34.csv,holes2.png
35,training/holes2/holes2_training_35.csv,holes2.png
36,training/holes2/holes2_training_36.csv,holes2.png
37,training/holes2/holes2_training_37.csv,holes2.png
38,training/holes2/holes2_training_38.csv,holes2.png
39,training/holes2/holes2_training_39.csv,holes2.png
40,training/holes2/holes2_training_40.csv,holes2.png
41,training/holes2/holes2_training_41.csv,holes2.png
42,training/holes2/holes2_training_42.csv,holes2.png
43,training/holes2/holes2_training_43.csv,holes2.png
44,training/holes2/holes2_training_44.csv,holes2.png
45,training/holes2/holes2_training_45.csv,holes2.png
46,training/holes2/holes2_training_46.csv,holes2.png
47,training/holes2/holes2_training_47.csv,holes2.png
48,training/holes2/holes2_training_48.csv,holes2.png
49,training/holes2/holes2_training_49.csv,holes2.png
